../instances/2n500w1k10 MEA Results:

=== Mutation rate: 0.1 ===
k=10 | Run 1: MEA evaluations = 32117
k=10 | Run 2: MEA evaluations = 65167
k=10 | Run 3: MEA evaluations = 28932
k=10 | Run 4: MEA evaluations = 61981
k=10 | Run 5: MEA evaluations = 150788
k=10 | Run 6: MEA evaluations = 100381
k=10 | Run 7: MEA evaluations = 50958
k=10 | Run 8: MEA evaluations = 23378
k=10 | Run 9: MEA evaluations = 73260
k=10 | Run 10: MEA evaluations = 84410
k=10 | Run 11: MEA evaluations = 28053
k=10 | Run 12: MEA evaluations = 30207
k=10 | Run 13: MEA evaluations = 35135
k=10 | Run 14: MEA evaluations = 70875
k=10 | Run 15: MEA evaluations = 11304
k=10 | Run 16: MEA evaluations = 34240
k=10 | Run 17: MEA evaluations = 99420
k=10 | Run 18: MEA evaluations = 176016
k=10 | Run 19: MEA evaluations = 38516
k=10 | Run 20: MEA evaluations = 14225
k=10 | Run 21: MEA evaluations = 60285
k=10 | Run 22: MEA evaluations = 128022
k=10 | Run 23: MEA evaluations = 19754
k=10 | Run 24: MEA evaluations = 66981
k=10 | Run 25: MEA evaluations = 169907
k=10 | Run 26: MEA evaluations = 79235
k=10 | Run 27: MEA evaluations = 13118
k=10 | Run 28: MEA evaluations = 58762
k=10 | Run 29: MEA evaluations = 63691
k=10 | Run 30: MEA evaluations = 15906
