
One + One EA Results:
Run 1: 1+1EA evaluations = 1256204
Run 2: 1+1EA evaluations = 335291
Run 3: 1+1EA evaluations = 426515
Run 4: 1+1EA evaluations = 1550335
Run 5: 1+1EA evaluations = 1498359
Run 6: 1+1EA evaluations = 709166
Run 7: 1+1EA evaluations = 568170
Run 8: 1+1EA evaluations = 817852
Run 9: 1+1EA evaluations = 320876
Run 10: 1+1EA evaluations = 615895
Run 11: 1+1EA evaluations = 3061968
Run 12: 1+1EA evaluations = 2854654
Run 13: 1+1EA evaluations = 1382530
Run 14: 1+1EA evaluations = 2555323
Run 15: 1+1EA evaluations = 734201
Run 16: 1+1EA evaluations = 463367
Run 17: 1+1EA evaluations = 443294
Run 18: 1+1EA evaluations = 1417490
Run 19: 1+1EA evaluations = 1247695
Run 20: 1+1EA evaluations = 1205326
Run 21: 1+1EA evaluations = 775630
Run 22: 1+1EA evaluations = 275782
Run 23: 1+1EA evaluations = 2137008
Run 24: 1+1EA evaluations = 1305989
Run 25: 1+1EA evaluations = 580491
Run 26: 1+1EA evaluations = 1091333
Run 27: 1+1EA evaluations = 1326358
Run 28: 1+1EA evaluations = 681973
Run 29: 1+1EA evaluations = 570467
Run 30: 1+1EA evaluations = 704224
