../instances/n280 MEA Results:

=== Mutation rate: 0.1 ===
0 41332 1000000
1 43477 1000000
2 44469 1000000
3 44749 1000000
4 45024 1000000
5 45118 1000000
6 46584 1000000
7 47709 1000000
8 47971 1000000
9 49553 1000000




0 41524 1000000
1 43874 1000000
2 44465 1000000
3 44746 1000000
4 44950 1000000
5 45187 1000000
6 46630 1000000
7 48404 1000000
8 47805 1000000
9 50041 1000000




0 41532 1000000
1 43775 1000000
2 44473 1000000
3 44826 1000000
4 45227 1000000
5 45355 1000000
6 46914 1000000
7 48498 1000000
8 48394 1000000
9 50069 1000000




0 41634 1000000
1 43871 1000000
2 44555 1000000
3 44954 1000000
4 45229 1000000
5 45558 1000000
6 46802 1000000
7 48202 1000000
8 48172 1000000
9 50061 1000000




0 41634 1000000
1 44060 1000000
2 44871 1000000
3 44857 1000000
4 45228 1000000
5 45626 1000000
6 47113 1000000
7 48403 1000000
8 48388 1000000
9 50186 1000000




0 41634 1000000
1 43977 1000000
2 44673 1000000
3 44857 1000000
4 45048 1000000
5 45282 1000000
6 46893 1000000
7 48402 1000000
8 47828 1000000
9 49684 1000000




0 41436 1000000
1 43772 1000000
2 44372 1000000
3 44853 1000000
4 45320 1000000
5 45223 1000000
6 46313 1000000
7 47815 1000000
8 47717 1000000
9 49771 1000000




0 41434 1000000
1 43766 1000000
2 44572 1000000
3 44851 1000000
4 45116 1000000
5 44988 1000000
6 46537 1000000
7 48173 1000000
8 48374 1000000
9 48568 1000000




0 41535 1000000
1 43866 1000000
2 44266 1000000
3 44654 1000000
4 45224 1000000
5 45253 1000000
6 46809 1000000
7 47830 1000000
8 48102 1000000
9 49754 1000000




0 41435 1000000
1 43774 1000000
2 44467 1000000
3 44753 1000000
4 45224 1000000
5 45358 1000000
6 46616 1000000
7 47775 1000000
8 47993 1000000
9 49851 1000000




0 41536 1000000
1 43875 1000000
2 44373 1000000
3 45047 1000000
4 45128 1000000
5 44872 1000000
6 46816 1000000
7 47816 1000000
8 48298 1000000
9 49986 1000000




0 41036 1000000
1 43376 1000000
2 44073 1000000
3 44552 1000000
4 45228 1000000
5 45053 1000000
6 46601 1000000
7 47996 1000000
8 48148 1000000
9 49658 1000000




0 41733 1000000
1 44075 1000000
2 44762 1000000
3 45257 1000000
4 45253 1000000
5 45558 1000000
6 47062 1000000
7 46843 1000000
8 48330 1000000
9 49913 1000000




0 41436 1000000
1 43674 1000000
2 44771 1000000
3 44654 1000000
4 45026 1000000
5 45156 1000000
6 46656 1000000
7 48198 1000000
8 48097 1000000
9 49514 1000000




0 41236 1000000
1 43674 1000000
2 44366 1000000
3 44649 1000000
4 44921 1000000
5 45352 1000000
6 46711 1000000
7 48299 1000000
8 48182 1000000
9 49854 1000000




0 41532 1000000
1 43676 1000000
2 44765 1000000
3 45149 1000000
4 45049 1000000
5 45086 1000000
6 47016 1000000
7 47721 1000000
8 48107 1000000
9 49954 1000000




0 41236 1000000
1 43365 1000000
2 43965 1000000
3 44646 1000000
4 45126 1000000
5 45154 1000000
6 46610 1000000
7 47731 1000000
8 47708 1000000
9 49608 1000000




0 41522 1000000
1 43772 1000000
2 44451 1000000
3 44657 1000000
4 45028 1000000
5 45250 1000000
6 46543 1000000
7 47903 1000000
8 48188 1000000
9 49864 1000000




0 41136 1000000
1 43474 1000000
2 44269 1000000
3 44635 1000000
4 44823 1000000
5 45128 1000000
6 46285 1000000
7 47771 1000000
8 48084 1000000
9 49786 1000000




0 41336 1000000
1 43775 1000000
2 44569 1000000
3 44857 1000000
4 45209 1000000
5 45127 1000000
6 46901 1000000
7 48297 1000000
8 46785 1000000
9 49759 1000000




0 41436 1000000
1 43671 1000000
2 44570 1000000
3 44636 1000000
4 45305 1000000
5 45258 1000000
6 46614 1000000
7 48204 1000000
8 48155 1000000
9 49658 1000000




0 41730 1000000
1 44175 1000000
2 44573 1000000
3 45150 1000000
4 45226 1000000
5 45758 1000000
6 47010 1000000
7 47985 1000000
8 48210 1000000
9 49709 1000000




0 41731 1000000
1 43877 1000000
2 44669 1000000
3 45154 1000000
4 45049 1000000
5 45653 1000000
6 46613 1000000
7 48494 1000000
8 48504 1000000
9 50004 1000000




0 41336 1000000
1 43773 1000000
2 44573 1000000
3 44738 1000000
4 45227 1000000
5 43017 1000000
6 46816 1000000
7 48201 1000000
8 48103 1000000
9 49869 1000000




0 41728 1000000
1 44067 1000000
2 44665 1000000
3 44956 1000000
4 45327 1000000
5 45657 1000000
6 47110 1000000
7 48483 1000000
8 48498 1000000
9 49568 1000000




0 41536 1000000
1 43968 1000000
2 44470 1000000
3 44757 1000000
4 45317 1000000
5 45550 1000000
6 46805 1000000
7 48296 1000000
8 48298 1000000
9 49755 1000000




0 41619 1000000
1 43975 1000000
2 44573 1000000
3 44933 1000000
4 44957 1000000
5 45545 1000000
6 46812 1000000
7 48104 1000000
8 48373 1000000
9 49692 1000000




0 41336 1000000
1 43775 1000000
slurmstepd: error: *** JOB 97652 ON localhost CANCELLED AT 2026-03-08T19:16:49 DUE TO TIME LIMIT ***
