../instances/n50comp MEA Results:

=== Mutation rate: 0.5 ===
0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000


0 3718 1000000
1 3718 1000000
2 3718 1000000
3 3718 1000000
4 3718 1000000
5 3718 1000000
6 3718 1000000
7 3718 1000000
8 3718 1000000
9 3718 1000000




